file,enso_phase,season,n_months,bs_clim,bs_model,bss
seasonal_spi3_lead3_monthly_scores.csv,ElNino,DJF,3,0.025976292160958234,0.012936373426861991,0.5019930732722101
seasonal_spi3_lead3_monthly_scores.csv,ElNino,JJA,3,0.049224694553274266,0.06483080316472067,-0.31703820111176984
seasonal_spi3_lead3_monthly_scores.csv,ElNino,MAM,2,0.02959086962601113,0.024629411056669246,0.16766856236562366
seasonal_spi3_lead3_monthly_scores.csv,ElNino,SON,3,0.06510316771517939,0.05777680858122094,0.11253460301671692
seasonal_spi3_lead3_monthly_scores.csv,LaNina,DJF,9,0.054183491036388136,0.05695241511278959,-0.05110272563541396
seasonal_spi3_lead3_monthly_scores.csv,LaNina,JJA,4,0.08075007671468956,0.06251603899417951,0.22580830213865322
seasonal_spi3_lead3_monthly_scores.csv,LaNina,MAM,5,0.46913955169003063,0.41126417369858376,0.12336495139443338
seasonal_spi3_lead3_monthly_scores.csv,LaNina,SON,6,0.008569679384414879,0.031223635344280114,-2.6435009927051087
seasonal_spi3_lead3_monthly_scores.csv,Neutral,DJF,2,0.021654421590182722,0.03486581391933156,-0.6101013723284288
seasonal_spi3_lead3_monthly_scores.csv,Neutral,JJA,8,0.100046067209817,0.08071121628504307,0.19325947999759752
seasonal_spi3_lead3_monthly_scores.csv,Neutral,MAM,8,0.057076194192000586,0.07128898617123074,-0.249014360197515
seasonal_spi3_lead3_monthly_scores.csv,Neutral,SON,6,0.03049806157144448,0.03947196342994343,-0.2942449911931868
seasonal_spi3_lead3_monthly_scores.csv,ElNino,ALL,11,0.04364492750365981,0.04144461614834084,0.05041390789650091
seasonal_spi3_lead3_monthly_scores.csv,LaNina,ALL,24,0.13365698170595394,0.1252624405229343,0.06280660445772801
seasonal_spi3_lead3_monthly_scores.csv,Neutral,ALL,24,0.061803137659315534,0.06344020950285474,-0.026488490803871834
seasonal_spi6_lead6_monthly_scores.csv,ElNino,DJF,3,0.018183890686941203,0.01940901340154101,-0.06737406948226066
seasonal_spi6_lead6_monthly_scores.csv,ElNino,JJA,3,0.03292785162822263,0.039615266900121904,-0.20309297270300686
seasonal_spi6_lead6_monthly_scores.csv,ElNino,MAM,2,0.030654086469438256,0.008768317440960802,0.7139592644620903
seasonal_spi6_lead6_monthly_scores.csv,ElNino,SON,3,0.06495011081584712,0.04744885515197173,0.26945690229069275
seasonal_spi6_lead6_monthly_scores.csv,LaNina,DJF,9,0.06440081472226324,0.12533044723937486,-0.9461003370823564
seasonal_spi6_lead6_monthly_scores.csv,LaNina,JJA,4,0.5202628400759606,0.5252925602799644,-0.009667652226073686
seasonal_spi6_lead6_monthly_scores.csv,LaNina,MAM,5,0.43842088129366186,0.37420408038119024,0.14647295248115266
seasonal_spi6_lead6_monthly_scores.csv,LaNina,SON,6,0.1492945662867726,0.1453616272412535,0.026343484182568933
seasonal_spi6_lead6_monthly_scores.csv,Neutral,DJF,5,0.018533048559046344,0.08470169286728353,-3.570305451767619
seasonal_spi6_lead6_monthly_scores.csv,Neutral,JJA,8,0.11536057154251805,0.10678463490064598,0.07434027525350173
seasonal_spi6_lead6_monthly_scores.csv,Neutral,MAM,8,0.06911894019160043,0.1039990659304636,-0.5046391863384201
seasonal_spi6_lead6_monthly_scores.csv,Neutral,SON,6,0.024048639024581764,0.09591190377537628,-2.9882466395432252
seasonal_spi6_lead6_monthly_scores.csv,ElNino,ALL,11,0.037226702939264486,0.03063236738571141,0.17713993002044148
seasonal_spi6_lead6_monthly_scores.csv,LaNina,ALL,24,0.23952210404138152,0.24884726798448767,-0.03893237319548204
seasonal_spi6_lead6_monthly_scores.csv,Neutral,ALL,27,0.06343678410428408,0.09945368494953896,-0.5677605092030911
seasonal_spi3_lead6_monthly_scores.csv,ElNino,DJF,3,0.025965425395818947,0.01179098239374804,0.5458968141670936
seasonal_spi3_lead6_monthly_scores.csv,ElNino,JJA,3,0.049224694553274266,0.06643953172441874,-0.34971953259178523
seasonal_spi3_lead6_monthly_scores.csv,ElNino,MAM,2,0.02958994127224955,0.02043256721132185,0.30947591198890945
seasonal_spi3_lead6_monthly_scores.csv,ElNino,SON,3,0.06471202169983913,0.05133377536321863,0.2067351009163999
seasonal_spi3_lead6_monthly_scores.csv,LaNina,DJF,9,0.05417537689515716,0.04954139092375389,0.08553675557017693
seasonal_spi3_lead6_monthly_scores.csv,LaNina,JJA,4,0.08075007671468956,0.06700834711220051,0.1701760563156126
seasonal_spi3_lead6_monthly_scores.csv,LaNina,MAM,5,0.46913864043355274,0.532331352298658,-0.13469943939536932
seasonal_spi3_lead6_monthly_scores.csv,LaNina,SON,6,0.008152597749380998,0.02530582213258319,-2.1040194684577176
seasonal_spi3_lead6_monthly_scores.csv,Neutral,DJF,5,0.0206058709472966,0.08477617960933102,-3.114175995091985
seasonal_spi3_lead6_monthly_scores.csv,Neutral,JJA,8,0.100046067209817,0.0784590964685597,0.2157703080520399
seasonal_spi3_lead6_monthly_scores.csv,Neutral,MAM,8,0.057077859931937217,0.05584470208431236,0.021604836780764747
seasonal_spi3_lead6_monthly_scores.csv,Neutral,SON,6,0.02950357227562689,0.054801919270652276,-0.8574672503615615
seasonal_spi3_lead6_monthly_scores.csv,ElNino,ALL,11,0.043535118862845106,0.03905072753334545,0.10300629575923459
seasonal_spi3_lead6_monthly_scores.csv,LaNina,ALL,24,0.13354947864913427,0.14697490004380734,-0.1005276960305086
seasonal_spi3_lead6_monthly_scores.csv,Neutral,ALL,27,0.05692748909349178,0.06767121489235353,-0.18872650049991435
seasonal_spi3_monthly_scores.csv,ElNino,DJF,3,0.025976292160958234,0.02182731673072555,0.15972161864072731
seasonal_spi3_monthly_scores.csv,ElNino,JJA,3,0.049224694553274266,0.047385723909096324,0.03735870097045879
seasonal_spi3_monthly_scores.csv,ElNino,MAM,2,0.02959086962601113,0.01175411953291005,0.6027788408564418
seasonal_spi3_monthly_scores.csv,ElNino,SON,3,0.06510316771517939,0.052954863018135206,0.1866008233300097
seasonal_spi3_monthly_scores.csv,LaNina,DJF,9,0.054183491036388136,0.08006702066369181,-0.4777014018886494
seasonal_spi3_monthly_scores.csv,LaNina,JJA,4,0.08075007671468956,0.06708990353984913,0.16916607055501975
seasonal_spi3_monthly_scores.csv,LaNina,MAM,5,0.46913955169003063,0.5381267842894722,-0.14705055745336693
seasonal_spi3_monthly_scores.csv,LaNina,SON,6,0.008569679384414879,0.0178135665863866,-1.0786736337864609
seasonal_spi3_monthly_scores.csv,Neutral,DJF,5,0.02061010679499748,0.043764641396478426,-1.1234553431378167
seasonal_spi3_monthly_scores.csv,Neutral,JJA,8,0.100046067209817,0.09956294048349773,0.004829042657979232
seasonal_spi3_monthly_scores.csv,Neutral,MAM,9,0.051464092187121155,0.051645023499907086,-0.003515680644439856
seasonal_spi3_monthly_scores.csv,Neutral,SON,6,0.03049806157144448,0.04108937786778797,-0.3472783432983888
seasonal_spi3_monthly_scores.csv,ElNino,ALL,11,0.04364492750365981,0.03545563182179012,0.18763453510566552
seasonal_spi3_monthly_scores.csv,LaNina,ALL,24,0.13365698170595394,0.15776992171242932,-0.18040913163461947
seasonal_spi3_monthly_scores.csv,Neutral,ALL,28,0.05534229538451003,0.06166672176986664,-0.11427835331757463
