target_time,y_true_dry_frac,xgb_prob_dry,xgb_cal_prob_dry,clim_prob_dry,persistence_prob_dry
2021-01-01,0.22975352112676056,0.15730733,0.12291857,0.18396126760563383,0.49457159624413144
2021-02-01,0.460093896713615,0.23125185,0.18583527,0.14759389671361503,0.8526995305164319
2021-03-01,0.2847711267605634,0.09697497,0.07796838,0.16026408450704224,0.8224765258215962
2021-04-01,0.9925176056338029,0.38022822,0.22888386,0.18302230046948356,0.22975352112676056
2021-05-01,0.7546948356807511,0.28820813,0.18532516,0.20348591549295775,0.460093896713615
2021-06-01,0.8597417840375586,0.22277763,0.18191735,0.1815669014084507,0.2847711267605634
2021-07-01,0.5308098591549296,0.23241219,0.18105355,0.17277582159624413,0.9925176056338029
2021-08-01,0.5217136150234741,0.24415392,0.17606726,0.14942488262910797,0.7546948356807511
2021-09-01,0.08890845070422536,0.18325244,0.13231486,0.12237608342361864,0.8597417840375586
2021-10-01,0.0,0.23933765,0.16802776,0.1280960014449888,0.5308189022600528
2021-11-01,0.0,0.27318406,0.18690169,0.1186527737012034,0.5218667449368947
2021-12-01,0.0,0.38087836,0.22205724,0.13778758664288457,0.08893454652186675
2022-01-01,0.08318661971830986,0.49214214,0.26500112,0.18396126760563383,0.0
2022-02-01,0.6898474178403756,0.15934522,0.11307101,0.14759389671361503,0.0
2022-03-01,1.0,0.082284935,0.027797246,0.16026408450704224,0.0
2022-04-01,0.9995598591549296,0.20186196,0.15929268,0.18302230046948356,0.08318661971830986
2022-05-01,0.7539612676056338,0.12743995,0.11091934,0.20348591549295775,0.6898474178403756
2022-06-01,0.4636150234741784,0.24472176,0.17698792,0.1815669014084507,1.0
2022-07-01,0.47139084507042256,0.59873086,0.27732047,0.17277582159624413,0.9995598591549296
2022-08-01,0.02420774647887324,0.29878727,0.19470644,0.14942488262910797,0.7539612676056338
2022-09-01,0.0038145539906103286,0.33661002,0.20347306,0.12237608342361864,0.4636150234741784
2022-10-01,0.13795127678309363,0.23277417,0.18096682,0.1280960014449888,0.4712356912239507
2022-11-01,0.1938655708834752,0.28882715,0.18300936,0.1186527737012034,0.024214851775755795
2022-12-01,0.0,0.717663,0.30915043,0.13778758664288457,0.0038156736131493983
2023-01-01,0.0,0.6046972,0.29375017,0.18396126760563383,0.13791079812206572
2023-02-01,0.0,0.26242983,0.1779252,0.14759389671361503,0.19395539906103287
2023-03-01,0.0,0.08628185,0.04378796,0.16026408450704224,0.0
2023-04-01,0.005428403755868545,0.21939303,0.17570709,0.18302230046948356,0.0
2023-05-01,0.0008802816901408451,0.27290627,0.18853144,0.20348591549295775,0.0
2023-06-01,0.4948650234741784,0.49510944,0.2636809,0.1815669014084507,0.0
2023-07-01,0.007482394366197183,0.6014673,0.2835781,0.17277582159624413,0.005428403755868545
2023-08-01,0.00044014084507042255,0.1137671,0.11216406,0.14942488262910797,0.0008802816901408451
2023-09-01,0.008215962441314555,0.26490152,0.20433508,0.12237608342361864,0.4948650234741784
2023-10-01,0.24977986498385676,0.22171754,0.18782926,0.1280960014449888,0.007484590548869974
2023-11-01,0.5278837687114764,0.23133168,0.18646906,0.1186527737012034,0.00044027003228646906
2023-12-01,0.30114470208394484,0.17091605,0.11753678,0.13778758664288457,0.008218373936014088
2024-01-01,0.01232394366197183,0.21289521,0.1535185,0.18396126760563383,0.24985328638497653
2024-02-01,0.0,0.11719822,0.10878501,0.14759389671361503,0.5277288732394366
2024-03-01,0.0,0.1188594,0.09878949,0.16026408450704224,0.301056338028169
2024-04-01,0.0,0.13879435,0.1172556,0.18302230046948356,0.01232394366197183
2024-05-01,0.06836854460093897,0.25252673,0.18052718,0.20348591549295775,0.0
2024-06-01,0.21919014084507044,0.16501534,0.113807224,0.1815669014084507,0.0
2024-07-01,0.1216255868544601,0.09870477,0.07600842,0.17277582159624413,0.0
2024-08-01,0.11018192488262911,0.31589222,0.18766528,0.14942488262910797,0.06836854460093897
2024-09-01,0.09697769953051644,0.20061351,0.16709812,0.12237608342361864,0.21919014084507044
2024-10-01,0.49060757264455535,0.31720322,0.18948498,0.1280960014449888,0.12166128558849428
2024-11-01,0.02685647196947461,0.26730046,0.18408218,0.1186527737012034,0.11021426474904608
2024-12-01,0.03184619900205459,0.35677207,0.22438066,0.13778758664288457,0.09700616378045201
2025-01-01,0.20980046948356806,0.2525022,0.20836504,0.18396126760563383,0.4907570422535211
2025-02-01,0.2943075117370892,0.21868043,0.19867057,0.14759389671361503,0.02699530516431925
2025-03-01,0.09345657276995305,0.4271361,0.2498405,0.16026408450704224,0.03198356807511737
2025-04-01,0.011150234741784037,0.2929572,0.19232112,0.18302230046948356,0.20980046948356806
2025-05-01,0.15610328638497653,0.18782532,0.15809408,0.20348591549295775,0.2943075117370892
2025-06-01,0.6314553990610329,0.29551408,0.20067899,0.1815669014084507,0.09345657276995305
2025-07-01,0.15551643192488263,0.40782666,0.25183538,0.17277582159624413,0.011150234741784037
2025-08-01,0.2125880281690141,0.2936989,0.18627691,0.14942488262910797,0.15610328638497653
2025-09-01,0.0,0.28525212,0.19080824,0.12237608342361864,0.6314553990610329
2025-10-01,0.0007337833871441151,0.19249609,0.15018788,0.1280960014449888,0.15541532139712358
2025-11-01,0.012327560904021134,0.521752,0.27209735,0.1186527737012034,0.21265042559436453
2025-12-01,0.00044027003228646906,0.49826086,0.270373,0.13778758664288457,0.0
2026-01-01,0.032130281690140844,0.44447607,0.25883234,0.18396126760563383,0.0007335680751173709
2026-02-01,0.014084507042253521,0.4045416,0.24595064,0.14759389671361503,0.01232394366197183
2026-03-01,0.07922535211267606,0.19393167,0.14731254,0.16026408450704224,0.00044014084507042255
